Color,Distance,Group
Yellow,1,EugeneGertrude
Blue,7,EugeneGertrude
Yellow,8,EugeneGertrude
White,5,EugeneGertrude
Blue,6,EugeneGertrude
Pink,2,EugeneGertrude
Blue,2,EugeneGertrude
Tan,4,EugeneGertrude
Red,2,EugeneGertrude
Brown,4,EugeneGertrude
Pink,1,EugeneGertrude
Pink,1,EugeneGertrude
Blue,6,EugeneGertrude
Tan,2,EugeneGertrude
White,7,EugeneGertrude
Blue,7,EugeneGertrude
Brown,1,EugeneGertrude
Brown,1,EugeneGertrude
Pink,9,EugeneGertrude
Yellow,3,EugeneGertrude
Blue,4,EugeneGertrude
Red,4,EugeneGertrude
Red,5,EugeneGertrude
White,3,EugeneGertrude
Red,8,EugeneGertrude
Yellow,6,EugeneGertrude
Pink,2,EugeneGertrude
White,2,EugeneGertrude
Pink,6,EugeneGertrude
Blue,2,EugeneGertrude
Pink,1,EugeneGertrude
White,1,EugeneGertrude
Red,2,EugeneGertrude
White,6,EugeneGertrude
White,10,EugeneGertrude
Yellow,8,EugeneGertrude
Yellow,1,EugeneGertrude
Yellow,7,EugeneGertrude
Red,2,EugeneGertrude
White,4,EugeneGertrude
Pink,5,EugeneGertrude
Red,5,EugeneGertrude
Pink,7,EugeneGertrude
Blue,1,EugeneGertrude
Red,3,EugeneGertrude
Brown,3,EugeneGertrude
Yellow,7,EugeneGertrude
Tan,3,EugeneGertrude
Tan,9,EugeneGertrude
Brown,8,EugeneGertrude
Blue,9,EugeneGertrude
Blue,3,EugeneGertrude
Tan,5,EugeneGertrude
Blue,9,EugeneGertrude
Red,1,EugeneGertrude
Tan,1,EugeneGertrude
Yellow,4,EugeneGertrude
White,4,EugeneGertrude
Tan,1,EugeneGertrude
White,3,EugeneGertrude
Pink,3,EugeneGertrude
Yellow,1,EugeneGertrude
Yellow,3,EugeneGertrude
Blue,7,EugeneGertrude
Pink,4,EugeneGertrude
Tan,5,EugeneGertrude
Yellow,2,EugeneGertrude
Red,3,EugeneGertrude
White,1,EugeneGertrude
White,1,EugeneGertrude
White,4,EugeneGertrude
Yellow,4,EugeneGertrude
White,8,EugeneGertrude
Pink,9,EugeneGertrude
Blue,2,EugeneGertrude
White,3,EugeneGertrude
White,1,EugeneGertrude
black,1,EugeneGertrude
Pink,2,EugeneGertrude
Pink,6,EugeneGertrude
White,8,EugeneGertrude
Pink,7,EugeneGertrude
black,5,EugeneGertrude
Yellow,8,EugeneGertrude
Red,7,EugeneGertrude
Brown,6,EugeneGertrude
black,1,EugeneGertrude
Red,1,EugeneGertrude
White,3,EugeneGertrude
Pink,3,EugeneGertrude
Yellow,3,EugeneGertrude
Blue,4,EugeneGertrude
Pink,6,EugeneGertrude
Brown,1,EugeneGertrude
Brown,3,EugeneGertrude
Brown,1,EugeneGertrude
Red,2,EugeneGertrude
black,4,EugeneGertrude
Blue,4,EugeneGertrude
White,3,EugeneGertrude
Blue,2,EugeneGertrude
Pink,2,EugeneGertrude
